stim,id,age,AUC_sal,AUC_dist,age_group,precision,watched,age_years
Dogs,63,2997,0.63047,0.58405,8-10 y,1.5,No,8.205338809034908
Feist,64,1845,0.61521,0.64655,4-6 y,1.607142857,Yes,5.0513347022587265
Pentatonix,64,1845,0.58243,0.63939,4-6 y,1.607142857,No,5.0513347022587265
Science,64,1845,0.58329,0.57194,4-6 y,1.607142857,No,5.0513347022587265
Plane,64,1845,0.49371,0.55376,4-6 y,1.607142857,No,5.0513347022587265
Dogs,64,1845,0.58587,0.53972,4-6 y,1.607142857,Yes,5.0513347022587265
Feist,65,3705,0.60414,0.76225,8-10 y,1.4,No,10.143737166324435
Pentatonix,65,3705,0.63109,0.62278,8-10 y,1.4,No,10.143737166324435
Science,65,3705,0.58259,0.50989,8-10 y,1.4,No,10.143737166324435
Plane,65,3705,0.57006,0.59173,8-10 y,1.4,No,10.143737166324435
Dogs,65,3705,0.58229,0.53858,8-10 y,1.4,No,10.143737166324435
Feist,66,551,0.58239,0.61637,1.5-2 y,1.564285714,Yes,1.5085557837097878
Pentatonix,66,551,0.57463,0.58356,1.5-2 y,1.564285714,No,1.5085557837097878
Science,66,551,0.6004,0.51199,1.5-2 y,1.564285714,No,1.5085557837097878
Plane,66,551,0.54094,0.58394,1.5-2 y,1.564285714,No,1.5085557837097878
Dogs,66,551,0.59886,0.68623,1.5-2 y,1.564285714,No,1.5085557837097878
Feist,67,3038,0.5859,0.66814,8-10 y,1.442857143,No,8.317590691307323
Pentatonix,67,3038,0.54914,0.71411,8-10 y,1.442857143,No,8.317590691307323
Science,67,3038,0.62679,0.59941,8-10 y,1.442857143,Not Sure,8.317590691307323
Plane,67,3038,0.54145,0.56508,8-10 y,1.442857143,No,8.317590691307323
Dogs,67,3038,0.55948,0.55398,8-10 y,1.442857143,No,8.317590691307323
Feist,68,978,0.59559,0.64626,2-4 y,1.957142857,No,2.6776180698151952
Pentatonix,68,978,0.57079,0.6598,2-4 y,1.957142857,No,2.6776180698151952
Science,68,978,0.61993,0.57341,2-4 y,1.957142857,No,2.6776180698151952
Plane,68,978,0.52336,0.58359,2-4 y,1.957142857,No,2.6776180698151952
Dogs,68,978,0.60978,0.62081,2-4 y,1.957142857,No,2.6776180698151952
Feist,69,551,0.56438,0.55243,1.5-2 y,1.535714286,No,1.5085557837097878
Pentatonix,69,551,0.54503,0.59841,1.5-2 y,1.535714286,No,1.5085557837097878
Science,69,551,0.65316,0.67444,1.5-2 y,1.535714286,No,1.5085557837097878
Plane,69,551,0.54304,0.50452,1.5-2 y,1.535714286,No,1.5085557837097878
Dogs,69,551,0.59936,0.59895,1.5-2 y,1.535714286,No,1.5085557837097878
Feist,70,2085,0.6141,0.67261,4-6 y,1.571428571,No,5.708418891170431
Pentatonix,70,2085,0.57621,0.64603,4-6 y,1.571428571,No,5.708418891170431
Science,70,2085,0.56591,0.51464,4-6 y,1.571428571,No,5.708418891170431
Plane,70,2085,0.54098,0.51521,4-6 y,1.571428571,No,5.708418891170431
Dogs,70,2085,0.58416,0.54104,4-6 y,1.571428571,No,5.708418891170431
Feist,71,1504,0.62589,0.68681,4-6 y,1.728571429,No,4.117727583846681
Pentatonix,71,1504,0.57362,0.63619,4-6 y,1.728571429,No,4.117727583846681
Science,71,1504,0.63785,0.60971,4-6 y,1.728571429,No,4.117727583846681
